UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title,RiskScore
U00069,Biometric,2025-03-12 09:36:33.388170,192.168.5.157,Finance,Chrome,Windows 10,Satış,Direktör,29.0
U00088,Mail,2025-03-12 09:37:10.075444,10.4.171.188,Finance,Chrome,Windows 11,İnsan Kaynakları,Müdür,29.0
U00030,Mail,2025-03-12 09:41:35.024786,192.168.2.238,Admin Panel,Safari,Windows 10,Bilgi İşlem,Direktör,30.0
U00095,Mail,2025-03-12 09:49:51.826611,192.168.6.108,CRM,Firefox,Ubuntu,Pazarlama,Genel Müdür,27.5
U00036,SMS,2025-03-12 10:03:25.922966,10.3.28.224,Email,Safari,Windows 11,Bilgi İşlem,Genel Müdür,44.5
U00071,Mail,2025-03-12 10:16:42.960810,192.168.3.19,Finance,Safari,Windows 11,Yönetim,Müdür,29.0
U00082,OTP,2025-03-12 10:18:47.363896,10.1.5.251,CRM,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,27.5
U00079,Mail,2025-03-12 10:19:27.498451,192.168.8.93,HR System,Chrome,Windows 11,Pazarlama,Takım Lideri,28.0
U00045,SMS,2025-03-12 10:24:46.471158,10.4.45.148,Email,Chrome,Windows 11,Pazarlama,Stajyer,27.0
U00019,OTP,2025-03-12 10:25:07.577387,10.3.132.220,Email,Chrome,macOS,Satış,Stajyer,27.0
U00007,OTP,2025-03-12 10:25:34.419278,192.168.1.43,Finance,Chrome,macOS,Satış,Stajyer,29.0
U00084,OTP,2025-03-12 10:31:41.910819,192.168.4.147,CRM,Edge,Ubuntu,Finans,Direktör,27.5
U00089,SMS,2025-03-12 10:34:29.981710,192.168.3.2,HR System,Chrome,macOS,Pazarlama,Uzman,28.0
U00077,SMS,2025-03-12 10:39:10.161581,10.4.167.225,HR System,Firefox,macOS,İnsan Kaynakları,Genel Müdür,28.0
U00097,OTP,2025-03-12 10:39:23.293210,192.168.3.186,Finance,Safari,macOS,Pazarlama,Stajyer,29.0
U00037,SMS,2025-03-12 11:11:51.521442,192.168.3.80,Email,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,27.0
U00044,SMS,2025-03-12 11:19:12.213016,192.168.4.40,Email,Opera,Windows 11,Bilgi İşlem,Uzman,27.0
U00047,Biometric,2025-03-12 11:23:35.514054,10.2.143.4,CRM,Safari,macOS,Pazarlama,Takım Lideri,27.5
U00071,Mail,2025-03-12 11:34:44.960674,192.168.3.234,Finance,Safari,Windows 11,Yönetim,Müdür,29.0
U00008,Mail,2025-03-12 11:38:05.789540,192.168.0.125,HR System,Safari,Linux,Pazarlama,Stajyer,48.5
U00100,Mail,2025-03-12 11:46:04.778245,10.2.117.103,Admin Panel,Opera,macOS,Satış,Direktör,46.0
U00048,Mail,2025-03-12 11:50:26.413465,10.0.221.93,Finance,Chrome,Windows 11,Pazarlama,Takım Lideri,49.5
U00050,SMS,2025-03-12 11:52:11.278013,192.168.2.76,Admin Panel,Chrome,macOS,Finans,Müdür,30.0
U00039,SMS,2025-03-12 11:53:30.930301,10.4.15.131,CRM,Chrome,Windows 10,Bilgi İşlem,Genel Müdür,27.5
U00002,SMS,2025-03-12 12:00:41.484720,192.168.4.158,CRM,Chrome,Linux,Pazarlama,Direktör,27.5
U00004,SMS,2025-03-12 12:04:43.586052,192.168.8.55,Finance,Firefox,Windows 10,Yönetim,Müdür,29.0
U00076,Mail,2025-03-12 12:08:43.270358,10.1.41.216,HR System,Safari,Windows 10,Yönetim,Genel Müdür,28.0
U00063,Biometric,2025-03-12 12:09:32.063733,192.168.2.205,Admin Panel,Safari,Windows 11,Pazarlama,Takım Lideri,30.0
U00099,SMS,2025-03-12 12:12:53.022601,10.0.188.198,HR System,Chrome,Linux,Pazarlama,Direktör,28.0
U00092,SMS,2025-03-12 12:13:36.899400,192.168.7.217,Email,Safari,Windows 10,İnsan Kaynakları,Takım Lideri,27.0
U00001,SMS,2025-03-12 12:15:18.160160,192.168.3.169,HR System,Firefox,Windows 11,Yönetim,Stajyer,28.0
U00061,Mail,2025-03-12 12:21:39.141827,192.168.2.36,CRM,Opera,Ubuntu,Pazarlama,Müdür,48.0
U00037,Mail,2025-03-12 12:23:44.521496,192.168.3.110,Email,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,37.5
U00052,Mail,2025-03-12 12:24:07.487703,192.168.7.19,CRM,Firefox,Windows 11,Finans,Direktör,27.5
U00068,Mail,2025-03-12 12:25:55.841219,192.168.3.32,Email,Safari,Ubuntu,Pazarlama,Müdür,27.0
U00092,SMS,2025-03-12 12:27:53.899450,10.2.171.4,Email,Safari,Windows 10,İnsan Kaynakları,Takım Lideri,27.0
U00070,SMS,2025-03-12 12:36:39.657626,10.2.38.230,HR System,Firefox,Windows 10,Finans,Genel Müdür,28.0
U00100,Mail,2025-03-12 12:41:59.721890,10.2.88.50,Email,Chrome,Windows 10,Satış,Direktör,27.0
U00020,SMS,2025-03-12 12:43:05.891574,10.3.170.230,Finance,Safari,Windows 10,Satış,Genel Müdür,29.0
U00023,SMS,2025-03-12 12:44:52.858060,10.0.154.164,CRM,Firefox,Windows 11,Bilgi İşlem,Stajyer,27.5
U00088,Mail,2025-03-12 12:47:48.017441,10.4.183.195,Finance,Chrome,Windows 11,İnsan Kaynakları,Müdür,29.0
U00040,OTP,2025-03-12 12:53:14.938622,10.3.253.228,CRM,Edge,Windows 10,Yönetim,Stajyer,27.5
U00076,Mail,2025-03-12 12:54:34.270308,192.168.8.2,Email,Safari,Windows 10,Yönetim,Genel Müdür,27.0
U00024,OTP,2025-03-12 12:55:21.850459,192.168.2.222,CRM,Firefox,Windows 10,Pazarlama,Stajyer,27.5
U00074,Mail,2025-03-12 12:58:22.981479,10.3.168.241,Email,Opera,Windows 10,İnsan Kaynakları,Takım Lideri,44.5
U00001,SMS,2025-03-12 13:06:51.160239,192.168.3.8,HR System,Firefox,Windows 11,Yönetim,Stajyer,28.0
U00081,SMS,2025-03-12 13:11:12.099133,192.168.0.157,CRM,Chrome,macOS,Finans,Takım Lideri,27.5
U00014,Biometric,2025-03-12 13:14:02.269637,192.168.7.40,Finance,Safari,Linux,Bilgi İşlem,Direktör,29.0
U00094,OTP,2025-03-12 13:15:30.375915,192.168.9.201,HR System,Safari,Windows 10,Satış,Takım Lideri,28.0
U00030,Biometric,2025-03-12 13:17:48.024834,192.168.2.104,Admin Panel,Edge,Ubuntu,Bilgi İşlem,Direktör,44.5
U00031,SMS,2025-03-12 13:32:50.220529,192.168.4.131,CRM,Edge,Windows 11,Yönetim,Takım Lideri,27.5
U00020,SMS,2025-03-12 13:34:33.946316,10.3.78.207,HR System,Safari,Windows 10,Satış,Genel Müdür,28.0
U00025,OTP,2025-03-12 13:43:41.115112,10.1.191.241,CRM,Edge,Windows 10,Bilgi İşlem,Müdür,27.5
U00054,OTP,2025-03-12 13:46:40.214717,10.1.231.207,Email,Safari,Linux,Satış,Takım Lideri,27.0
U00029,SMS,2025-03-12 13:49:42.716576,192.168.1.117,Email,Safari,Windows 10,İnsan Kaynakları,Stajyer,27.0
U00021,OTP,2025-03-12 14:08:44.384273,192.168.7.155,Email,Safari,Windows 10,Bilgi İşlem,Uzman,27.0
U00026,SMS,2025-03-12 14:10:12.434305,192.168.4.59,Email,Chrome,Windows 10,Pazarlama,Genel Müdür,27.0
U00056,Mail,2025-03-12 14:27:26.548757,192.168.6.200,Email,Chrome,Windows 10,Satış,Takım Lideri,27.0
U00085,SMS,2025-03-12 14:33:55.231437,192.168.3.94,Email,Firefox,macOS,Yönetim,Takım Lideri,27.0
U00066,OTP,2025-03-12 14:34:03.728847,10.2.241.181,Admin Panel,Chrome,Windows 11,Yönetim,Müdür,30.0
U00094,OTP,2025-03-12 14:37:25.375866,192.168.9.71,CRM,Safari,Windows 10,Satış,Takım Lideri,27.5
U00075,Mail,2025-03-12 14:39:49.874249,192.168.4.64,Finance,Safari,Windows 11,Finans,Direktör,29.0
U00025,OTP,2025-03-12 14:43:16.115064,192.168.8.242,CRM,Edge,Windows 10,Bilgi İşlem,Müdür,27.5
U00016,SMS,2025-03-12 14:45:42.852121,192.168.5.88,Email,Firefox,Windows 11,Yönetim,Genel Müdür,37.0
U00028,OTP,2025-03-12 14:46:26.269915,10.3.63.193,Email,Chrome,Ubuntu,Pazarlama,Stajyer,27.0
U00012,OTP,2025-03-12 14:46:32.506151,192.168.0.164,Email,Safari,Windows 11,Bilgi İşlem,Takım Lideri,27.0
U00041,SMS,2025-03-12 15:09:46.256862,192.168.5.84,Email,Firefox,macOS,Pazarlama,Genel Müdür,39.0
U00072,SMS,2025-03-12 15:11:41.286843,192.168.0.123,Email,Safari,Windows 11,Bilgi İşlem,Stajyer,27.0
U00046,Biometric,2025-03-12 15:19:41.929531,192.168.2.18,Finance,Chrome,Windows 11,Finans,Direktör,29.0
U00034,Biometric,2025-03-12 15:19:44.287006,10.2.241.84,Email,Firefox,Windows 10,İnsan Kaynakları,Genel Müdür,27.0
U00099,SMS,2025-03-12 15:21:23.109491,10.0.73.88,HR System,Chrome,Linux,Pazarlama,Direktör,28.0
U00021,OTP,2025-03-12 15:22:12.384181,192.168.1.142,CRM,Edge,Linux,Bilgi İşlem,Uzman,37.5
U00040,OTP,2025-03-12 15:30:50.923326,10.3.44.22,CRM,Edge,Windows 10,Yönetim,Stajyer,27.5
U00060,Biometric,2025-03-12 15:37:06.944706,192.168.1.243,CRM,Firefox,Windows 11,Finans,Direktör,27.5
U00022,Biometric,2025-03-12 15:37:32.593131,192.168.6.201,Finance,Chrome,macOS,Finans,Direktör,29.0
U00075,Mail,2025-03-12 15:39:27.874195,192.168.4.114,HR System,Safari,Windows 11,Finans,Direktör,28.0
U00046,Biometric,2025-03-12 15:42:06.929482,192.168.2.243,CRM,Chrome,Windows 11,Finans,Direktör,27.5
U00057,SMS,2025-03-12 15:48:42.882608,10.0.149.174,Finance,Firefox,Linux,Bilgi İşlem,Direktör,29.0
U00034,OTP,2025-03-12 15:56:49.286923,192.168.7.243,CRM,Edge,Linux,İnsan Kaynakları,Genel Müdür,43.5
U00023,SMS,2025-03-12 16:02:34.912581,192.168.3.137,CRM,Firefox,Windows 11,Bilgi İşlem,Stajyer,27.5
U00090,OTP,2025-03-12 16:05:35.258326,192.168.2.16,CRM,Firefox,Windows 11,Bilgi İşlem,Takım Lideri,27.5
U00056,Mail,2025-03-12 16:10:12.548889,192.168.5.80,Email,Chrome,Windows 10,Satış,Takım Lideri,27.0
U00028,OTP,2025-03-12 16:18:28.325700,10.3.63.63,Email,Chrome,Ubuntu,Pazarlama,Stajyer,27.0
U00087,Mail,2025-03-12 16:20:47.629059,192.168.8.136,Admin Panel,Firefox,macOS,Yönetim,Uzman,30.0
U00094,OTP,2025-03-12 16:23:23.375818,192.168.9.199,HR System,Safari,Windows 10,Satış,Takım Lideri,28.0
U00064,Mail,2025-03-12 16:30:56.474026,10.4.108.16,Email,Safari,Windows 10,Pazarlama,Müdür,27.0
U00033,Mail,2025-03-12 16:33:02.022587,192.168.7.183,Finance,Opera,Windows 11,Bilgi İşlem,Direktör,49.5
U00091,OTP,2025-03-12 16:33:21.579815,192.168.3.199,CRM,Safari,macOS,Bilgi İşlem,Direktör,27.5
U00093,OTP,2025-03-12 16:39:15.176652,192.168.5.193,Email,Edge,Windows 10,İnsan Kaynakları,Müdür,27.0
U00079,Mail,2025-03-12 16:50:25.498319,192.168.8.89,HR System,Chrome,Windows 11,Pazarlama,Takım Lideri,28.0
U00078,SMS,2025-03-12 16:52:02.305440,10.0.253.190,Admin Panel,Safari,Windows 10,Finans,Stajyer,30.0
U00073,OTP,2025-03-12 16:56:40.568359,192.168.5.51,HR System,Chrome,Linux,Yönetim,Uzman,28.0
U00020,SMS,2025-03-12 17:07:12.879465,10.0.166.128,HR System,Safari,Windows 10,Satış,Genel Müdür,28.0
U00086,Mail,2025-03-12 17:09:21.609874,192.168.3.171,Admin Panel,Safari,Windows 10,Finans,Direktör,30.0
U00010,OTP,2025-03-12 17:15:05.505103,10.2.200.9,CRM,Firefox,Windows 11,Pazarlama,Takım Lideri,27.5
U00037,SMS,2025-03-12 17:18:53.521360,192.168.3.167,Email,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,27.0
U00004,Mail,2025-03-12 17:18:54.531439,192.168.8.181,CRM,Chrome,macOS,Yönetim,Müdür,51.0
U00096,SMS,2025-03-12 17:22:55.151165,192.168.1.146,Finance,Chrome,Windows 10,İnsan Kaynakları,Uzman,29.0
U00007,OTP,2025-03-12 17:29:22.419227,192.168.2.160,Finance,Chrome,macOS,Satış,Stajyer,29.0
U00031,SMS,2025-03-12 17:35:07.220582,192.168.1.4,Email,Edge,Windows 11,Yönetim,Takım Lideri,27.0
U00001,SMS,2025-03-12 17:37:52.160292,192.168.3.234,HR System,Firefox,Windows 11,Yönetim,Stajyer,28.0
U00008,SMS,2025-03-12 17:38:07.789491,192.168.0.123,HR System,Chrome,macOS,Pazarlama,Stajyer,28.0
U00022,Biometric,2025-03-12 17:47:24.593084,192.168.6.150,Finance,Chrome,macOS,Finans,Direktör,29.0
U00059,OTP,2025-03-12 17:48:48.745270,192.168.0.235,HR System,Chrome,Ubuntu,Bilgi İşlem,Müdür,28.0
U00079,Mail,2025-03-12 17:53:56.498399,192.168.8.68,Email,Chrome,Windows 11,Pazarlama,Takım Lideri,27.0
U00067,SMS,2025-03-12 17:55:37.981727,10.3.133.36,HR System,Chrome,Windows 10,İnsan Kaynakları,Stajyer,33.0
U00015,OTP,2025-03-12 17:57:23.589133,192.168.3.183,CRM,Safari,Windows 10,Bilgi İşlem,Genel Müdür,27.5
U00053,OTP,2025-03-12 18:11:31.822752,192.168.7.124,HR System,Chrome,Ubuntu,Yönetim,Genel Müdür,35.5
U00026,SMS,2025-03-12 18:12:42.434255,192.168.4.66,Email,Chrome,Windows 10,Pazarlama,Genel Müdür,34.5
U00047,Biometric,2025-03-12 18:17:33.447013,10.2.25.226,HR System,Safari,macOS,Pazarlama,Takım Lideri,35.5
U00006,Mail,2025-03-12 18:21:10.941958,10.2.34.233,Finance,Firefox,Windows 10,Finans,Takım Lideri,36.5
U00095,Mail,2025-03-12 18:27:06.826513,192.168.6.232,Email,Firefox,Ubuntu,Pazarlama,Genel Müdür,34.5
U00085,SMS,2025-03-12 18:48:54.231388,192.168.3.9,CRM,Firefox,macOS,Yönetim,Takım Lideri,35.0
U00058,Biometric,2025-03-12 18:54:44.534267,192.168.2.64,Email,Chrome,Linux,Satış,Stajyer,39.5
U00040,OTP,2025-03-12 18:59:13.923228,192.168.2.247,HR System,Edge,Windows 10,Yönetim,Stajyer,35.5
U00025,OTP,2025-03-12 19:10:53.169929,192.168.8.5,CRM,Edge,Windows 10,Bilgi İşlem,Müdür,35.0
U00010,OTP,2025-03-12 19:16:46.573336,10.0.183.7,Finance,Firefox,Windows 11,Pazarlama,Takım Lideri,36.5
U00035,SMS,2025-03-12 19:20:32.044291,10.4.47.73,Email,Safari,Windows 11,Satış,Müdür,34.5
U00075,Mail,2025-03-12 19:20:56.874299,192.168.4.192,Finance,Safari,Windows 11,Finans,Direktör,36.5
U00039,Mail,2025-03-12 19:21:52.815017,10.4.223.207,Email,Edge,macOS,Bilgi İşlem,Genel Müdür,57.0
U00007,OTP,2025-03-12 19:25:13.419169,192.168.1.173,Finance,Chrome,macOS,Satış,Stajyer,36.5
U00018,SMS,2025-03-12 19:29:41.259290,192.168.7.5,Email,Chrome,macOS,Finans,Takım Lideri,34.5
U00082,OTP,2025-03-12 19:43:29.420429,10.1.4.32,CRM,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,35.0
U00042,SMS,2025-03-12 19:44:11.608571,10.3.51.144,CRM,Chrome,Windows 11,İnsan Kaynakları,Müdür,35.0
U00038,SMS,2025-03-12 19:48:31.724738,192.168.6.236,Admin Panel,Edge,Windows 11,Bilgi İşlem,Müdür,53.5
U00067,SMS,2025-03-12 19:56:01.039861,10.3.2.127,CRM,Chrome,Ubuntu,İnsan Kaynakları,Stajyer,35.0
U00062,Mail,2025-03-12 19:59:41.518778,10.3.42.102,Email,Chrome,macOS,Pazarlama,Direktör,34.5
U00032,SMS,2025-03-12 20:07:47.389134,10.0.34.66,CRM,Edge,Windows 10,Finans,Uzman,35.0
U00005,Mail,2025-03-12 20:08:26.901631,10.4.159.232,CRM,Firefox,Windows 10,Finans,Genel Müdür,35.0
U00061,OTP,2025-03-12 20:11:49.129741,10.1.120.94,CRM,Chrome,Windows 10,Pazarlama,Müdür,35.0
U00070,SMS,2025-03-12 20:18:59.645201,10.2.146.79,HR System,Firefox,Windows 11,Finans,Genel Müdür,40.5
U00097,OTP,2025-03-12 20:28:24.293258,192.168.3.59,Finance,Safari,macOS,Pazarlama,Stajyer,36.5
U00056,Mail,2025-03-12 20:40:04.548837,192.168.5.231,CRM,Chrome,Windows 10,Satış,Takım Lideri,35.0
U00015,OTP,2025-03-12 21:01:36.589183,192.168.3.169,Admin Panel,Safari,Windows 10,Bilgi İşlem,Genel Müdür,37.5
U00069,Biometric,2025-03-12 21:33:51.388245,192.168.5.82,Admin Panel,Chrome,Windows 10,Satış,Direktör,37.5
U00084,OTP,2025-03-12 22:22:31.910770,192.168.4.54,CRM,Edge,Ubuntu,Finans,Direktör,40.0
U00045,SMS,2025-03-12 22:27:11.483218,192.168.3.39,Finance,Chrome,Windows 11,Pazarlama,Stajyer,41.5
U00090,OTP,2025-03-12 22:37:57.258276,192.168.9.109,HR System,Firefox,Windows 11,Bilgi İşlem,Takım Lideri,40.5
U00047,Biometric,2025-03-12 22:39:42.459117,10.2.220.238,CRM,Safari,macOS,Pazarlama,Takım Lideri,40.0
U00004,SMS,2025-03-12 22:49:36.531489,10.3.14.23,Finance,Firefox,Windows 10,Yönetim,Müdür,41.5
U00027,OTP,2025-03-12 22:56:14.696767,192.168.4.9,Finance,Edge,macOS,Yönetim,Takım Lideri,41.5
U00058,Biometric,2025-03-12 23:20:26.534354,192.168.2.226,CRM,Chrome,macOS,Satış,Stajyer,40.0
U00057,OTP,2025-03-12 23:30:55.870575,10.0.255.5,Admin Panel,Firefox,Windows 11,Bilgi İşlem,Direktör,59.5
U00083,Mail,2025-03-12 23:35:19.891312,192.168.7.91,CRM,Firefox,Ubuntu,Satış,Direktör,40.0
U00068,Mail,2025-03-12 23:48:09.841288,10.0.253.111,HR System,Safari,Ubuntu,Pazarlama,Müdür,40.5
U00021,OTP,2025-03-13 06:02:48.384329,192.168.7.86,Email,Safari,Windows 10,Bilgi İşlem,Uzman,37.0
U00008,SMS,2025-03-13 06:08:19.789639,192.168.3.186,CRM,Chrome,macOS,Pazarlama,Stajyer,37.5
U00068,Mail,2025-03-13 06:08:42.896457,10.2.17.90,Email,Safari,Ubuntu,Pazarlama,Müdür,37.0
U00069,Biometric,2025-03-13 06:10:53.388347,192.168.5.243,Finance,Chrome,Windows 10,Satış,Direktör,39.0
U00038,OTP,2025-03-13 06:13:27.724790,192.168.6.94,CRM,Firefox,Ubuntu,Bilgi İşlem,Müdür,56.5
U00037,SMS,2025-03-13 06:28:57.521550,192.168.3.228,Email,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,37.0
U00099,SMS,2025-03-13 06:41:06.167464,10.0.243.247,HR System,Chrome,Linux,Pazarlama,Direktör,38.0
U00043,SMS,2025-03-13 06:44:20.847117,10.2.14.86,Admin Panel,Chrome,Linux,Satış,Stajyer,40.0
U00045,SMS,2025-03-13 06:50:22.483278,192.168.3.168,Email,Chrome,Windows 11,Pazarlama,Stajyer,37.0
U00004,SMS,2025-03-13 06:54:49.586246,192.168.6.191,Finance,Firefox,Windows 10,Yönetim,Müdür,39.0
U00052,Mail,2025-03-13 07:00:39.487844,192.168.7.120,CRM,Firefox,Windows 11,Finans,Direktör,35.0
U00064,Mail,2025-03-13 07:01:16.530194,10.4.199.91,Email,Safari,Windows 10,Pazarlama,Müdür,34.5
U00047,Biometric,2025-03-13 07:08:31.570505,10.2.93.178,HR System,Safari,macOS,Pazarlama,Takım Lideri,35.5
U00064,Mail,2025-03-13 07:10:53.542121,10.4.242.45,CRM,Safari,Windows 10,Pazarlama,Müdür,35.0
U00037,SMS,2025-03-13 07:11:32.521601,192.168.3.229,Email,Firefox,Ubuntu,İnsan Kaynakları,Stajyer,34.5
U00040,OTP,2025-03-13 07:14:42.234794,10.3.48.240,HR System,Edge,Windows 10,Yönetim,Stajyer,35.5
U00066,OTP,2025-03-13 07:14:47.783024,192.168.9.113,Admin Panel,Chrome,Windows 11,Yönetim,Müdür,37.5
U00022,Biometric,2025-03-13 07:16:45.593228,192.168.6.166,Finance,Chrome,macOS,Finans,Direktör,36.5
U00012,OTP,2025-03-13 07:17:04.562311,10.1.151.102,Email,Safari,Windows 11,Bilgi İşlem,Takım Lideri,34.5
U00014,Biometric,2025-03-13 07:17:30.269686,192.168.7.139,Finance,Safari,Linux,Bilgi İşlem,Direktör,36.5
U00094,OTP,2025-03-13 07:20:39.375964,192.168.9.129,CRM,Safari,Windows 10,Satış,Takım Lideri,35.0
U00058,Biometric,2025-03-13 07:28:04.534410,192.168.5.57,CRM,Chrome,macOS,Satış,Stajyer,35.0
U00003,Biometric,2025-03-13 07:32:36.324718,192.168.7.104,HR System,Edge,Windows 10,Finans,Takım Lideri,35.5
U00080,SMS,2025-03-13 07:41:55.889556,192.168.4.155,HR System,Safari,Windows 11,Pazarlama,Genel Müdür,44.5
